,Date,Wallet,Token,Sell Basis,Buy Basis,Buy Date,Buy Lot,Period,Amount,Profit
114,2021-11-16,Coinbase Pro,BTC,61000.0,62283.19805587354,2021-10-30,0.01,17 days,0.01,-12.831980558735378
115,2021-11-16,Coinbase Pro,BTC,61000.0,62012.52874075966,2021-10-28,0.00246207,19 days,0.00246207,-2.492916636762142
116,2021-11-16,Coinbase Pro,BTC,61000.0,62012.26704674026,2021-10-28,0.00019119,19 days,0.00019119,-0.19353533666626968
117,2021-11-16,Coinbase Pro,BTC,61000.0,62009.08636507444,2021-10-28,0.00013567,19 days,0.00013567,-0.1369027471496497
118,2021-11-16,Coinbase Pro,BTC,61000.0,62002.37274699335,2021-10-28,0.00033421,19 days,0.00033421,-0.33500299577264786
119,2021-11-16,Coinbase Pro,BTC,61000.0,62000.480458780825,2021-10-28,0.00034208,19 days,0.00034208,-0.34224435533974457
120,2021-11-16,Coinbase Pro,BTC,61000.0,61464.117647058825,2021-11-16,0.017,0 days,0.013534780000000001,-6.281730247058848
121,2022-01-24,Coinbase Pro,BTC,36306.409440464704,62836.740328673644,2021-10-19,0.002,97 days,0.002,-53.06066177641788
122,2022-01-24,Coinbase Pro,BTC,36306.409440464704,62283.19805587354,2021-10-30,0.01,86 days,0.01,-259.76788615408833
123,2022-01-24,Coinbase Pro,BTC,36306.409440464704,62012.52874075966,2021-10-28,0.00246207,88 days,0.0020084000000000005,-51.62817000271241
124,2022-02-11,Coinbase,LRC,1.06,97.45866777899494,2022-02-11,1.026076,0 days,1.026076,-98.91235944
125,2022-02-11,Coinbase,LRC,1.06,2.70945945945946,2021-11-19,37.0,84 days,37.0,-61.03000000000002
126,2022-02-11,Coinbase,LRC,1.06,2.1306,2021-12-28,100.0,45 days,61.973924,-66.34928303439999
127,2022-02-12,Coinbase,LRC,0.9799268655023092,97.45866777899494,2022-02-11,1.026076,1 days,1.026076,-98.99452056155286
128,2022-02-12,Coinbase,LRC,0.9799268655023092,2.70945945945946,2021-11-19,37.0,85 days,37.0,-63.992705976414584
129,2022-02-12,Coinbase,LRC,0.9799268655023092,2.1306,2021-12-28,100.0,46 days,68.441053,-78.75328098383257
130,2022-02-16,Coinbase,LRC,0.979967965224346,97.45866777899494,2022-02-11,1.026076,5 days,1.026076,-98.99447839011447
131,2022-02-16,Coinbase,LRC,0.979967965224346,2.70945945945946,2021-11-19,37.0,89 days,37.0,-63.99118528669922
132,2022-02-16,Coinbase,LRC,0.979967965224346,2.1306,2021-12-28,100.0,50 days,67.507986,-77.67685129478635
133,2020-02-06,Binance,POWR,0.0498653232878508,1.654100681273493,2018-01-09,52.0,758 days,51.0,-81.81600325726775
134,2019-06-27,Binance,MIOTA,0.4451111949761572,3.880552990386912,2017-12-31,25.0,543 days,25.0,-85.88604488526886
135,2019-06-27,Binance,MIOTA,0.4451111949761572,0.5936031289975795,2018-09-24,175.0,276 days,86.0,-12.770306325842318
136,2019-06-27,Binance,MIOTA,0.4451111949761572,3.880552990386912,2017-12-31,25.0,543 days,25.0,-85.88604488526886
137,2019-06-27,Binance,MIOTA,0.4451111949761572,0.5936031289975795,2018-09-24,175.0,276 days,166.0,-24.6496610475561
138,2019-06-27,Binance,MIOTA,0.4451111949761572,3.880552990386912,2017-12-31,25.0,543 days,25.0,-85.88604488526886
139,2019-06-27,Binance,MIOTA,0.4451111949761572,0.5936031289975795,2018-09-24,175.0,276 days,90.0,-13.364274061928008
140,2020-02-06,Binance,QTUM,2.438420883095997,56.1770042696658,2018-01-09,1.53,758 days,1.53,-82.22003258145179
141,2018-09-05,Coinbase,ETH,249.0639864060876,704.3440489654348,2017-12-15,0.14197607,264 days,0.14197607,-64.63887403153026
142,2018-09-05,Coinbase,ETH,249.0639864060876,573.3637231396297,2018-05-30,0.17440936,98 days,0.17440936,-56.56090953186557
143,2018-09-05,Coinbase,ETH,249.0639864060876,492.6478709680344,2018-07-26,0.20298474,41 days,0.08511781999999996,-20.733329241044554
144,2018-09-24,Binance,ETH,244.7847954629194,704.3440489654348,2017-12-15,0.14197607,283 days,0.14197607,-65.24641674442087
145,2018-09-24,Binance,ETH,244.7847954629194,573.3637231396297,2018-05-30,0.17440936,117 days,0.17440936,-57.307240485581325
146,2018-09-24,Binance,ETH,244.7847954629194,492.6478709680344,2018-07-26,0.20298474,60 days,0.10798956999999998,-26.766626942674897
147,2018-09-24,Binance,ETH,244.78479546291936,704.3440489654348,2017-12-15,0.14197607,283 days,0.14197607,-65.24641674442088
148,2018-09-24,Binance,ETH,244.78479546291936,573.3637231396297,2018-05-30,0.17440936,117 days,0.17440936,-57.30724048558133
149,2018-09-24,Binance,ETH,244.78479546291936,492.6478709680344,2018-07-26,0.20298474,60 days,0.10962456999999998,-27.171883071125762
150,2018-10-25,Binance,ETH,203.52219877380864,704.3440489654348,2017-12-15,0.14197607,314 days,0.14197607,-71.10471806033583
151,2018-10-25,Binance,ETH,203.52219877380864,573.3637231396297,2018-05-30,0.17440936,148 days,0.17440936,-64.50382356606725
152,2018-10-25,Binance,ETH,203.52219877380864,492.6478709680344,2018-07-26,0.20298474,91 days,0.06503456999999996,-18.80316376711242
153,2018-10-26,Binance,ETH,202.35302275695463,704.3440489654348,2017-12-15,0.14197607,315 days,0.14197607,-71.27071307634702
