,Date,Wallet,Token,Sell Basis,Buy Basis,Buy Date,Buy Lot,Period,Amount,Profit
108,2022-02-16,Coinbase,LRC,0.979967965224346,2.70945945945946,2021-11-19,37.0,89 days,37.0,-63.99118528669922
109,2022-02-16,Coinbase,LRC,0.979967965224346,2.0452,2021-12-20,200.0,58 days,68.534062,-73.00467831570083
110,2020-02-06,Binance,POWR,0.0498653232878508,1.654100681273493,2018-01-09,52.0,758 days,51.0,-81.81600325726775
111,2019-06-27,Binance,MIOTA,0.4451111949761572,3.880552990386912,2017-12-31,25.0,543 days,25.0,-85.88604488526886
112,2019-06-27,Binance,MIOTA,0.4451111949761572,0.5936031289975795,2018-09-24,175.0,276 days,86.0,-12.770306325842318
113,2019-06-27,Binance,MIOTA,0.4451111949761572,3.880552990386912,2017-12-31,25.0,543 days,25.0,-85.88604488526886
114,2019-06-27,Binance,MIOTA,0.4451111949761572,0.5936031289975795,2018-09-24,175.0,276 days,166.0,-24.6496610475561
115,2019-06-27,Binance,MIOTA,0.4451111949761572,3.880552990386912,2017-12-31,25.0,543 days,25.0,-85.88604488526886
116,2019-06-27,Binance,MIOTA,0.4451111949761572,0.5936031289975795,2018-09-24,175.0,276 days,90.0,-13.364274061928008
117,2020-02-06,Binance,QTUM,2.438420883095997,56.1770042696658,2018-01-09,1.53,758 days,1.53,-82.22003258145179
118,2018-09-05,Coinbase,ETH,249.0639864060876,704.3440489654348,2017-12-15,0.14197607,264 days,0.14197607,-64.63887403153026
119,2018-09-05,Coinbase,ETH,249.0639864060876,573.3637231396297,2018-05-30,0.17440936,98 days,0.17440936,-56.56090953186557
120,2018-09-05,Coinbase,ETH,249.0639864060876,452.173946071836,2018-07-12,0.22115383,55 days,0.08511781999999996,-17.288276987036422
121,2018-09-24,Binance,ETH,244.7847954629194,704.3440489654348,2017-12-15,0.14197607,283 days,0.14197607,-65.24641674442087
122,2018-09-24,Binance,ETH,244.7847954629194,573.3637231396297,2018-05-30,0.17440936,117 days,0.17440936,-57.307240485581325
123,2018-09-24,Binance,ETH,244.7847954629194,452.173946071836,2018-07-12,0.22115383,74 days,0.10798956999999998,-22.395865196922138
124,2018-09-24,Binance,ETH,244.78479546291936,704.3440489654348,2017-12-15,0.14197607,283 days,0.14197607,-65.24641674442088
125,2018-09-24,Binance,ETH,244.78479546291936,573.3637231396297,2018-05-30,0.17440936,117 days,0.17440936,-57.30724048558133
126,2018-09-24,Binance,ETH,244.78479546291936,452.173946071836,2018-07-12,0.22115383,74 days,0.10962456999999998,-22.73494645816772
127,2018-10-25,Binance,ETH,203.52219877380864,704.3440489654348,2017-12-15,0.14197607,314 days,0.14197607,-71.10471806033583
128,2018-10-25,Binance,ETH,203.52219877380864,573.3637231396297,2018-05-30,0.17440936,148 days,0.17440936,-64.50382356606725
129,2018-10-25,Binance,ETH,203.52219877380864,452.173946071836,2018-07-12,0.22115383,105 days,0.06503456999999996,-16.17095946527586
130,2018-10-26,Binance,ETH,202.35302275695463,704.3440489654348,2017-12-15,0.14197607,315 days,0.14197607,-71.27071307634702
131,2018-10-26,Binance,ETH,202.35302275695463,573.3637231396297,2018-05-30,0.17440936,149 days,0.14240393,-52.83338180654544
132,2018-11-13,Binance,ETH,211.656909248752,704.3440489654348,2017-12-15,0.14197607,333 days,0.14197607,-69.94978383651555
133,2018-11-13,Binance,ETH,211.656909248752,573.3637231396297,2018-05-30,0.17440936,167 days,0.07222392999999999,-26.123887606977775
134,2018-11-28,Binance,ETH,110.4349435886608,704.3440489654348,2017-12-15,0.14197607,348 days,0.14197607,-84.32088071861025
135,2018-11-28,Binance,ETH,110.4349435886608,573.3637231396297,2018-05-30,0.17440936,182 days,0.10735664,-49.69847833189272
136,2018-11-28,Binance,ETH,110.4349435886608,704.3440489654348,2017-12-15,0.14197607,348 days,0.14197607,-84.32088071861025
137,2018-11-28,Binance,ETH,110.4349435886608,573.3637231396297,2018-05-30,0.17440936,182 days,0.10802392999999999,-50.007386077199286
138,2020-02-12,Coinbase,ETH,261.1741106597533,704.3440489654348,2017-12-15,0.14197607,789 days,0.14197607,-62.91952618278312
139,2020-02-12,Coinbase,ETH,261.1741106597533,573.3637231396297,2018-05-30,0.17440936,623 days,0.17440936,-54.448790511263255
140,2020-02-12,Coinbase,ETH,261.1741106597533,452.173946071836,2018-07-12,0.22115383,580 days,0.22115383,-42.24034513075171
141,2020-02-12,Coinbase,ETH,261.1741106597533,492.6478709680344,2018-07-26,0.20298474,566 days,0.13109515999999993,-30.345089643415744
142,2020-12-21,Coinbase Pro,ETH,640.0486129775949,704.3440489654348,2017-12-15,0.14197607,1102 days,0.08985255,-5.777108876869187
143,2020-12-21,Coinbase Pro,ETH,640.0047936718049,704.3440489654348,2017-12-15,0.14197607,1102 days,0.14197607,-9.134634613316269
144,2020-12-21,Coinbase Pro,ETH,640.0047936718049,573.3637231396297,2018-05-30,0.17440936,936 days,0.17440936,11.622826461231547
145,2020-12-21,Coinbase Pro,ETH,640.0047936718049,452.173946071836,2018-07-12,0.22115383,893 days,0.22115383,41.539511338879436
146,2020-12-21,Coinbase Pro,ETH,640.0047936718049,492.6478709680344,2018-07-26,0.20298474,879 days,0.07526864999999999,11.091356640067156
147,2020-12-21,Coinbase Pro,ETH,640.030458885428,704.3440489654348,2017-12-15,0.14197607,1102 days,0.03656076,-2.3513537316535116
148,2020-12-21,Coinbase Pro,ETH,639.966822602447,704.3440489654348,2017-12-15,0.14197607,1102 days,0.04639303,-2.9866545939748845
149,2020-12-21,Coinbase Pro,ETH,639.9040396322927,704.3440489654348,2017-12-15,0.14197607,1102 days,0.04358466,-2.808595897181827
150,2020-12-21,Coinbase Pro,ETH,639.9843205990494,704.3440489654348,2017-12-15,0.14197607,1102 days,0.09306478,-5.989623961277418
151,2020-12-21,Coinbase Pro,ETH,639.9840692206769,704.3440489654348,2017-12-15,0.14197607,1102 days,0.07773631,-5.00310733703222
152,2020-12-26,Coinbase Pro,ETH,650.0,704.3440489654348,2017-12-15,0.14197607,1107 days,0.14197607,-7.7155545000000005
153,2020-12-26,Coinbase Pro,ETH,650.0,573.3637231396297,2018-05-30,0.17440936,941 days,0.17440936,13.366084000000003
154,2020-12-26,Coinbase Pro,ETH,650.0,452.173946071836,2018-07-12,0.22115383,898 days,0.22115383,43.74998950000002
155,2020-12-26,Coinbase Pro,ETH,650.0,492.6478709680344,2018-07-26,0.20298474,884 days,0.20298474,31.94008099999999
156,2020-12-26,Coinbase Pro,ETH,650.0,303.38547548710585,2018-09-02,0.32961367,846 days,0.25947600000000004,89.93815036250774
157,2021-01-03,Coinbase Pro,ETH,1000.0,704.3440489654348,2017-12-15,0.14197607,1115 days,0.14197607,41.97607
158,2021-01-03,Coinbase Pro,ETH,1000.0,573.3637231396297,2018-05-30,0.17440936,949 days,0.17440936,74.40936
159,2021-01-03,Coinbase Pro,ETH,1000.0,452.173946071836,2018-07-12,0.22115383,906 days,0.22115383,121.15383000000001
160,2021-01-03,Coinbase Pro,ETH,1000.0,492.6478709680344,2018-07-26,0.20298474,892 days,0.20298474,102.98473999999999
161,2021-01-03,Coinbase Pro,ETH,1000.0,303.38547548710585,2018-09-02,0.32961367,854 days,0.25947600000000004,180.75475036250776
162,2021-05-10,Coinbase Pro,ETH,4130.0,704.3440489654348,2017-12-15,0.14197607,1242 days,0.04000000000000001,137.02623804138264
163,2021-05-11,Coinbase Pro,ETH,4170.0,704.3440489654348,2017-12-15,0.14197607,1243 days,0.04000000000000001,138.62623804138263
164,2021-05-12,Coinbase Pro,ETH,4200.0,704.3440489654348,2017-12-15,0.14197607,1244 days,0.04000000000000001,139.82623804138262
165,2021-05-13,Coinbase Pro,ETH,3700.0,704.3440489654348,2017-12-15,0.14197607,1245 days,0.1,299.56559510345653
166,2021-05-17,Coinbase Pro,ETH,3205.0,704.3440489654348,2017-12-15,0.14197607,1249 days,0.1,250.06559510345653
167,2021-05-17,Coinbase Pro,ETH,3300.0,704.3440489654348,2017-12-15,0.14197607,1249 days,0.1,259.56559510345653
168,2021-05-17,Coinbase Pro,ETH,3400.0,704.3440489654348,2017-12-15,0.14197607,1249 days,0.1,269.56559510345653
169,2021-05-18,Coinbase Pro,ETH,3500.0,704.3440489654348,2017-12-15,0.14197607,1250 days,0.1,279.56559510345653
170,2021-11-18,Coinbase Pro,ETH,4058.096482210078,704.3440489654348,2017-12-15,0.14197607,1434 days,0.0012937100000000035,4.338783060412939
171,2021-11-18,Coinbase Pro,ETH,4056.808776943807,704.3440489654348,2017-12-15,0.14197607,1434 days,0.0490558,164.45783920276142
172,2021-11-18,Coinbase Pro,ETH,4056.652270233128,704.3440489654348,2017-12-15,0.14197607,1434 days,0.14197607,475.94754668427754
173,2021-11-18,Coinbase Pro,ETH,4056.652270233128,573.3637231396297,2018-05-30,0.17440936,1268 days,0.007674419999999987,26.732219291585242
174,2021-05-11,Coinbase,BAT,1.314944521971142,0.3754104175248963,2019-04-30,17.95415023,742 days,15.26419847,14.341235039601205
